dataset,noise_mode,noise_axis,noise_level,ctr,train_size,seed,metric,no_propensity,opc,delta,lift_pct,initial_reward
ml,kmeans_templates,action,extreme,0.05,25000,3,mean_trials,0.048063958343888394,0.04713046532809473,-0.0009334930157936655,-1.9421892161163719,0.0470871931671049
ml,kmeans_templates,action,extreme,0.05,25000,3,oracle,0.048919717943784,0.047658182208364,-0.0012615357354199969,-2.578787835346247,0.0470871931671049
ml,kmeans_templates,action,extreme,0.05,25000,3,selected,0.0485127422487344,0.0470081857857004,-0.0015045564630339972,-3.1013634630667535,0.0470871931671049
ml,kmeans_templates,action,extreme,0.05,25000,4,mean_trials,0.04814193168651872,0.047283992023068495,-0.0008579396634502273,-1.7821047751818355,0.0473316286445249
ml,kmeans_templates,action,extreme,0.05,25000,4,oracle,0.0488583508874456,0.047826535041174,-0.0010318158462715998,-2.111851561770027,0.0473316286445249
ml,kmeans_templates,action,extreme,0.05,25000,4,selected,0.0482762905843457,0.0469730069280471,-0.001303283656298601,-2.699635039319301,0.0473316286445249
ml,kmeans_templates,action,extreme,0.05,50000,0,mean_trials,0.04844344338692917,0.047333608591884874,-0.0011098347950442983,-2.2909907253697614,0.047214446646648
ml,kmeans_templates,action,extreme,0.05,50000,0,oracle,0.0490582018312453,0.0479011223728916,-0.0011570794583537006,-2.3585851400218947,0.047214446646648
ml,kmeans_templates,action,extreme,0.05,50000,0,selected,0.0489455942357318,0.0467432283466075,-0.0022023658891242998,-4.499620289657255,0.047214446646648
ml,kmeans_templates,action,extreme,0.05,50000,1,mean_trials,0.048460816077147854,0.04768216560178755,-0.0007786504753603055,-1.6067630271036342,0.0475615721433665
ml,kmeans_templates,action,extreme,0.05,50000,1,oracle,0.0490745600703052,0.0479745717951177,-0.001099988275187501,-2.241463343964033,0.0475615721433665
ml,kmeans_templates,action,extreme,0.05,50000,1,selected,0.0491184054583416,0.0475939648689373,-0.001524440589404298,-3.103603578290443,0.0475615721433665
ml,kmeans_templates,action,extreme,0.05,50000,2,mean_trials,0.04866454759448653,0.04763482327919282,-0.0010297243152937105,-2.11596401527089,0.0474672099741214
ml,kmeans_templates,action,extreme,0.05,50000,2,oracle,0.0493214686067938,0.0482751824669955,-0.0010462861397983053,-2.1213604731433002,0.0474672099741214
ml,kmeans_templates,action,extreme,0.05,50000,2,selected,0.0492813094387136,0.0475620803947396,-0.0017192290439740007,-3.488602603208098,0.0474672099741214
ml,kmeans_templates,action,extreme,0.05,50000,3,mean_trials,0.04817676322359751,0.04728224152740546,-0.0008945216961920507,-1.8567492632089158,0.0470871931671049
ml,kmeans_templates,action,extreme,0.05,50000,3,oracle,0.0488117728992346,0.0479779342268479,-0.0008338386723866983,-1.708273686571572,0.0470871931671049
ml,kmeans_templates,action,extreme,0.05,50000,3,selected,0.048357883550231,0.0475959028832181,-0.0007619806670128987,-1.5757113650794976,0.0470871931671049
ml,kmeans_templates,action,extreme,0.05,50000,4,mean_trials,0.048435297473192515,0.04752983978865336,-0.0009054576845391529,-1.869416999121966,0.0473316286445249
ml,kmeans_templates,action,extreme,0.05,50000,4,oracle,0.049097882081532,0.0481238025668337,-0.0009740795146983006,-1.9839542428342285,0.0473316286445249
ml,kmeans_templates,action,extreme,0.05,50000,4,selected,0.0489663281289614,0.0471044812156737,-0.0018618469132877027,-3.8023004469197748,0.0473316286445249
ml,kmeans_templates,action,extreme,0.05,100000,0,mean_trials,0.048585279453538105,0.04735171072157053,-0.0012335687319675742,-2.538976302785766,0.047214446646648
ml,kmeans_templates,action,extreme,0.05,100000,0,oracle,0.0491338129146192,0.0480545175824127,-0.0010792953322064994,-2.1966447710500554,0.047214446646648
ml,kmeans_templates,action,extreme,0.05,100000,0,selected,0.0489006249624228,0.0473521053414755,-0.0015485196209472987,-3.1666663199851603,0.047214446646648
ml,kmeans_templates,action,extreme,0.05,100000,1,mean_trials,0.04875874301350229,0.04766796065136924,-0.0010907823621330512,-2.2371010709422747,0.0475615721433665
ml,kmeans_templates,action,extreme,0.05,100000,1,oracle,0.0492126699528523,0.0479059442930057,-0.0013067256598465957,-2.6552626815380895,0.0475615721433665
ml,kmeans_templates,action,extreme,0.05,100000,1,selected,0.0490467493714117,0.0478080906503688,-0.0012386587210429026,-2.5254654730796293,0.0475615721433665
ml,kmeans_templates,action,extreme,0.05,100000,2,mean_trials,0.0488946011667617,0.04768364223534396,-0.0012109589314177396,-2.4766720711916625,0.0474672099741214
