dataset,noise_mode,noise_axis,noise_level,train_size,seed,reward,initial_reward,ctr,action_delta,context_delta,conv_dr,conv_sndr,metric,pct_vs_initial,pct_vs_ctr,restored_ctr,reward_over_ctr
ml,kmeans_templates,action,low,25000,0,0.0495393884326453,0.0494143220917449,0.05,0.2307141423225402,0.2312283366918563,0.0543335862457752,0.05442551150918,selected,0.253097352359088,-0.9212231347094091,0.21354116168220452,0.990787768652906
ml,kmeans_templates,action,low,25000,1,0.0493358111094728,0.0494137412479531,0.05,0.233785331249237,0.1885790675878524,0.0512364618480205,0.0512415282428264,selected,-0.15770944784216,-1.3283777810544073,-0.13292788927791693,0.986716222189456
ml,kmeans_templates,action,low,25000,2,0.0494039527362099,0.049422432069098,0.05,0.1905570179224014,0.1656879484653473,0.0509006679058074,0.0508919432759285,selected,-0.037390577748712746,-1.1920945275802064,-0.031995081269905676,0.988079054724198
ml,kmeans_templates,action,low,25000,3,0.0495649294236237,0.0494175204532242,0.05,0.2078940123319625,0.1928216367959976,0.0508162714540958,0.0508085824549198,selected,0.298292931429102,-0.8701411527526071,0.2530714961846319,0.991298588472474
ml,kmeans_templates,action,low,25000,4,0.0493723901371391,0.0494217371956612,0.05,0.2275480777025222,0.1968478709459304,0.0453117750585079,0.0452874116599559,selected,-0.09984889508585358,-1.2552197257218038,-0.08533673297304101,0.987447802742782
ml,kmeans_templates,action,low,50000,0,0.0494868131615463,0.0494143220917449,0.05,0.1923531889915466,0.17923504114151,0.0514860451221466,0.0514842495322227,selected,0.14670052473210385,-1.026373676907402,0.12377292839569913,0.989736263230926
ml,kmeans_templates,action,low,50000,1,0.0493064260799659,0.0494137412479531,0.05,0.2249222546815872,0.2652577757835388,0.0540089607238769,0.0540612749755382,selected,-0.2171767716366602,-1.3871478400682007,-0.18305085870788262,0.986128521599318
ml,kmeans_templates,action,low,50000,2,0.0494172828717423,0.049422432069098,0.05,0.2015468925237655,0.1998662203550338,0.0505874678492546,0.0505814291536808,selected,-0.01041874537557772,-1.165434256515399,-0.008915310356057264,0.988345657434846
ml,kmeans_templates,action,low,50000,3,0.0495281492939221,0.0494175204532242,0.05,0.2473156005144119,0.1838653683662414,0.0499522797763347,0.0499500408768653,selected,0.2238656243439341,-0.9437014121558007,0.18992742545255933,0.990562985878442
ml,kmeans_templates,action,low,50000,4,0.0495951246244825,0.0494217371956612,0.05,0.2106720954179763,0.1935319453477859,0.0507673025131225,0.0507770702242851,selected,0.3508323233051324,-0.8097507510350099,0.2998419187959884,0.9919024924896499
ml,kmeans_templates,action,low,100000,0,0.0494025895936156,0.0494143220917449,0.05,0.1963443607091903,0.2034594565629959,0.0496467612683773,0.0496468767523765,selected,-0.02374311258893527,-1.1948208127688098,-0.020032338532720954,0.988051791872312
ml,kmeans_templates,action,low,100000,1,0.0494132145673425,0.0494137412479531,0.05,0.09854506701231,0.0579266175627708,0.0500662475824356,0.0500661730766296,selected,-0.0010658585998447748,-1.173570865314999,-0.000898375689501376,0.98826429134685
ml,kmeans_templates,action,low,100000,2,0.0494917315154067,0.049422432069098,0.05,0.1989998668432235,0.2086004912853241,0.050455879420042,0.0504535213112831,selected,0.14021860804383707,-1.0165369691866044,0.11998492748805058,0.989834630308134
ml,kmeans_templates,action,low,100000,3,0.0494899006613627,0.0494175204532242,0.05,0.1834119409322738,0.1278135627508163,0.050468772649765,0.050465740263462,selected,0.1464666933400824,-1.0201986772746112,0.12426223124767627,0.9897980132272539
ml,kmeans_templates,action,low,100000,4,0.0494767574037274,0.0494217371956612,0.05,0.1975867301225662,0.1552974283695221,0.0475847162306308,0.0475890040397644,selected,0.11132795241165531,-1.0464851925452017,0.09514740988590911,0.989535148074548
ml,kmeans_templates,action,medium,5000,0,0.0488009392871807,0.0489544608348695,0.05,0.2139781266450882,0.193394660949707,0.0509122982621192,0.0509194023907184,selected,-0.3136007323349985,-2.3981214256386107,-0.1468348128973611,0.9760187857436139
ml,kmeans_templates,action,medium,5000,1,0.0488251482515707,0.0489734201804317,0.05,0.1952381730079651,0.201842114329338,0.0412792116403579,0.0413192883133888,selected,-0.3027600039260591,-2.3497034968586044,-0.14443292770293484,0.976502965031414
ml,kmeans_templates,action,medium,5000,2,0.0489494979954163,0.048996904473098,0.05,0.2104672342538833,0.1787594854831695,0.0526949018239975,0.0526774413883686,selected,-0.09675402597673972,-2.1010040091674065,-0.047260182515329784,0.9789899599083259
